"county_code1","county_name1","county_code2","county_name2","distance_km"
"110105","朝阳区","110226","平谷区",60.6019665753483
"110106","丰台区","110226","平谷区",86.951632947612
"110107","石景山区","110226","平谷区",87.9027398721725
"110108","海淀区","110226","平谷区",80.0881923933625
"110109","门头沟区","110226","平谷区",117.730320827313
"110111","房山区","110226","平谷区",122.490543176047
"110112","通州区","110226","平谷区",57.3534146259506
"110113","顺义区","110226","平谷区",36.3844758510981
"110114","昌平区","110226","平谷区",79.2266066304688
"110224","大兴区","110226","平谷区",87.7235760502386
"110226","平谷区","110226","平谷区",0
"110227","怀柔区","110226","平谷区",66.4724468148434
"110228","密云县","110226","平谷区",37.5144416582226
"110229","延庆县","110226","平谷区",90.7480012595691
"110101","东城区","110227","怀柔区",79.292290353042
"110102","西城区","110227","怀柔区",80.1330451931935
"110103","崇文区","110227","怀柔区",84.6732670048639
"110104","宣武区","110227","怀柔区",85.0360332685108
"110105","朝阳区","110227","怀柔区",75.8945590767824
"110106","丰台区","110227","怀柔区",93.0278528026633
"110107","石景山区","110227","怀柔区",85.0838045479061
"110108","海淀区","110227","怀柔区",73.6503691291201
"110109","门头沟区","110227","怀柔区",97.7155108608054
"110111","房山区","110227","怀柔区",118.661000719909
"110112","通州区","110227","怀柔区",93.1524345717368
"110113","顺义区","110227","怀柔区",55.0470287910506
"110114","昌平区","110227","怀柔区",56.1601041127203
"110224","大兴区","110227","怀柔区",110.066380188474
"110226","平谷区","110227","怀柔区",66.4724468148434
"110227","怀柔区","110227","怀柔区",0
"110228","密云县","110227","怀柔区",36.1225071931419
"110229","延庆县","110227","怀柔区",37.0884323084389
"110101","东城区","110228","密云县",82.336207351236
"110102","西城区","110228","密云县",84.8281309322392
"110103","崇文区","110228","密云县",86.7237501640335
"110104","宣武区","110228","密云县",88.9699539803188
"110105","朝阳区","110228","密云县",75.6628055602418
"110106","丰台区","110228","密云县",99.5230593850255
"110107","石景山区","110228","密云县",95.6631219471427
"110108","海淀区","110228","密云县",85.0873390887162
"110109","门头沟区","110228","密云县",117.883019030593
"110111","房山区","110228","密云县",131.69557342315
"110112","通州区","110228","密云县",83.6344012176371
"110113","顺义区","110228","密云县",47.9364199159621
"110114","昌平区","110228","密云县",74.6857463144125
"110224","大兴区","110228","密云县",109.004120238574
"110226","平谷区","110228","密云县",37.5144416582226
"110227","怀柔区","110228","密云县",36.1225071931419
"110228","密云县","110228","密云县",0
"110229","延庆县","110228","密云县",69.9525676122613
"110101","东城区","110229","延庆县",71.1999255918338
"110102","西城区","110229","延庆县",70.0661604623458
"110103","崇文区","110229","延庆县",76.5216203187607
"110104","宣武区","110229","延庆县",74.7957920113728
"110105","朝阳区","110229","延庆县",72.0688387616066
"110106","丰台区","110229","延庆县",78.645391962702
"110107","石景山区","110229","延庆县",67.518590415083
"110108","海淀区","110229","延庆县",57.4532827769698
"110109","门头沟区","110229","延庆县",68.2331803136041
"110111","房山区","110229","延庆县",94.676926868038
"110112","通州区","110229","延庆县",95.3690503556606
"110113","顺义区","110229","延庆县",64.4665502693238
"110114","昌平区","110229","延庆县",36.3710668982547
"110224","大兴区","110229","延庆县",101.37794074762
"110226","平谷区","110229","延庆县",90.7480012595691
"110227","怀柔区","110229","延庆县",37.0884323084389
"110228","密云县","110229","延庆县",69.9525676122613
"110229","延庆县","110229","延庆县",0
