ydate,county_2000,n_obs,median_totalprice,mean_totalprice,median_unitsize,mean_unitsize,median_totalfloor,mean_totalfloor,median_bedroom,mean_bedroom,median_byear,mean_byear,tenure
2009,大兴区,2032,3000.0,416732.6097440945,83.1100005,88.81962114124015,6.0,8.93886462882096,2.0,2.001518218623482,2002.0,2000.7214566929133,8.278543307086693
2009,宣武区,6180,2400.0,324143.4851132686,60.0,67.317813957411,13.0,13.63719022998752,2.0,1.734640522875817,1996.0,1994.209708737864,14.790291262135952
2009,崇文区,3830,2600.0,375149.27415143605,61.010000000000005,67.53104441044387,12.0,13.690045941807044,2.0,1.7545526524148851,1995.0,1995.4634464751957,13.536553524804276
2009,房山区,39,700000.0,812623.0769230769,97.269997,102.7551278974359,6.0,6.114285714285714,2.0,2.1666666666666665,2004.0,2004.1025641025642,4.897435897435798
2009,昌平区,4150,2350.0,314105.6978313253,90.0,91.62806982722893,6.0,10.94901765729918,2.0,2.0852148579752368,2002.0,2002.0829115449505,6.917088455049452
2009,朝阳区,39011,2900.0,406672.78618851095,65.0,74.96665763359053,15.0,14.842516447368421,2.0,1.8134232414136908,1997.0,1996.6765874541773,12.323412545822748
2009,海淀区,16674,2900.0,356339.99454240134,63.0,70.83111071483746,7.0,11.750288703213098,2.0,1.8615646052072585,1997.0,1995.9454676345313,13.05453236546873
2009,石景山区,2570,2400.0,362031.6926070039,63.604999500000005,70.46615559416342,12.0,13.013319672131148,2.0,1.812650120096077,1997.0,1995.5898832684825,13.410116731517519
2009,西城区,5184,2800.0,227874.67901234567,60.0,62.17829861766975,6.0,10.146376811594203,2.0,1.7327117327117327,1991.0,1986.6569385388482,22.34306146115182
2009,通州区,5679,1900.0,297509.6846275753,75.279999,79.10704353847508,6.0,10.178211840515505,2.0,1.837338593974175,2003.0,1999.8336276933946,9.166372306605354
2009,门头沟区,4,226250.0,285375.0,70.529999,73.5599995,6.0,5.5,2.0,2.25,1998.5,1998.5,10.5
2009,顺义区,88,7750.0,771239.0113636364,94.0,114.97772632954546,6.0,6.430232558139535,2.0,2.413793103448276,2000.0,2000.3295454545455,8.670454545454504
2010,东城区,2871,3200.0,214169.26959247648,60.0,62.51116331940091,6.0,9.710176991150442,2.0,1.7394193774046869,1992.0,1991.700592540955,18.299407459044915
2010,丰台区,11496,2500.0,295204.45633263746,62.07,68.98678144006611,15.0,14.966091612135633,2.0,1.754920913884007,2001.0,1998.2074338440111,11.79256615598888
2010,大兴区,2654,2400.0,339910.9992464205,73.965,82.60869254050489,6.0,9.680235187697875,2.0,1.9208110175975517,2002.0,1996.904295403165,13.095704596835049
2010,宣武区,6573,2700.0,350102.53308991325,60.0,67.32706834154877,12.0,13.561774193548388,2.0,1.729329053950787,1996.0,1993.975806451613,16.024193548387075
2010,崇文区,4323,2700.0,323001.4755956512,60.0,64.92087668008327,12.0,13.69246699456381,2.0,1.7178056717805672,1996.0,1995.321304649549,14.678695350451108
2010,怀柔区,1,1800000.0,1800000.0,181.37,181.37,6.0,6.0,5.0,5.0,1997.0,1997.0,13.0
2010,房山区,45,850000.0,903593.3333333334,87.110001,102.72244495555555,6.0,9.022727272727273,2.0,2.066666666666667,2004.0,2004.888888888889,5.111111111111086
2010,昌平区,5356,2725.0,356058.81684092607,90.0,92.2065197613891,6.0,11.52520740268028,2.0,2.0585766075176495,2002.0,2002.2595704948646,7.740429505135353
2010,朝阳区,37885,3000.0,366033.5931635212,63.299999,71.11807311701466,14.0,14.400255564470596,2.0,1.7733565403668496,1997.0,1996.4980201678898,13.501979832110237
2010,海淀区,17263,3100.0,317608.5364073452,60.0,66.67289407744887,6.0,11.587619361211722,2.0,1.825479420018709,1996.0,1995.0937481893504,14.906251810649565
2010,石景山区,2488,2400.0,347372.4461414791,63.0,68.69801848553055,9.0,12.583617747440274,2.0,1.79524004924087,1997.0,1996.2934083601285,13.706591639871476
2010,西城区,5054,3200.0,187545.05797388207,60.0,61.48910169489513,6.0,10.217319245908431,2.0,1.7299661960628356,1991.0,1987.4873066243554,22.51269337564463
2010,通州区,6608,1900.0,288690.3728813559,76.0,78.71246517978209,6.0,10.716179408026148,2.0,1.8205009276437847,2003.0,2000.115944225523,9.88405577447702
2010,顺义区,180,6500.0,633202.5166666667,94.16,110.57127784444444,6.0,7.611428571428571,2.0,2.404494382022472,2003.0,2002.8222222222223,7.177777777777692
2013,东城区,705,3300000.0,3596220.4326241133,66.919998,72.43297876595746,,,2.0,2.00709219858156,1995.0,1994.77304964539,18.226950354609926
2013,丰台区,4552,2300000.0,2569698.8159050965,69.0,77.90179262148506,,,2.0,1.9193760984182777,2002.0,2000.4198154657292,12.580184534270757
2013,大兴区,3668,1790000.0,2030689.8260632497,82.739998,87.3605152898037,,,2.0,2.130316248636859,2002.0,2001.5970556161396,11.402944383860358
2013,宣武区,1236,2750000.0,3123879.4215210355,62.495001,71.89731392313915,,,2.0,1.8883495145631068,1999.0,1996.3001618122978,16.6998381877022
2013,密云县,17,2120000.0,2481764.705882353,64.32,80.08235329411765,,,2.0,1.8823529411764706,1998.0,1999.5294117647059,13.470588235294144
2013,崇文区,884,2455000.0,2800075.226244344,61.5,69.72872163461538,,,2.0,1.8065610859728507,2001.0,1997.4943438914027,15.50565610859735
